track,sample,lon,lat,pressure
Invest_GEFS,13,120.5,53.5,998.4107
Invest_GEFS,13,123.5,51.5,995.1227
Invest_GEFS,13,125.0,51.0,994.77344
Invest_GEFS,13,100.5,41.5,991.4958
Invest_GEFS,13,124.5,48.5,992.641
Invest_GEFS,13,123.5,48.0,990.9771
Invest_GEFS,13,124.5,45.5,992.84015
Invest_GEFS,13,105.5,30.0,992.78455
Invest_GEFS,13,113.5,33.5,994.91956
Invest_GEFS,13,116.5,34.5,994.96686
Invest_GEFS,13,117.0,36.0,996.24786
Invest_GEFS,13,108.0,45.0,993.8759
Invest_GEFS,13,100.5,41.5,992.4557
Invest_GEFS,13,100.5,41.0,992.817
Invest_GEFS,13,100.5,41.5,992.64905
Invest_GEFS,14,162.0,47.5,984.73315
Invest_GEFS,14,167.0,49.0,984.26843
Invest_GEFS,14,169.5,50.5,989.58026
Invest_GEFS,14,171.0,51.5,993.01514
Invest_GEFS,14,175.0,52.5,998.0571
Invest_GEFS,14,126.0,52.0,998.99945
Invest_GEFS,14,125.0,51.0,997.78046
Invest_GEFS,14,125.5,51.0,998.6716
Invest_GEFS,14,124.0,49.0,996.551
Invest_GEFS,14,100.0,41.5,996.27856
Invest_GEFS,14,116.0,38.5,993.72736
Invest_GEFS,14,116.0,21.0,992.1
Invest_GEFS,14,156.0,16.0,990.5477
Invest_GEFS,14,155.5,17.0,987.9636
Invest_GEFS,14,155.0,19.0,985.37
Invest_GEFS,14,154.5,21.0,983.9964
Invest_GEFS,14,155.0,24.0,981.9624
Invest_GEFS,14,156.5,27.5,978.0144
Invest_GEFS,14,158.0,32.5,976.40717
Invest_GEFS,14,159.0,39.5,975.4586
Invest_GEFS,15,162.0,47.5,984.3484
Invest_GEFS,15,164.5,48.0,983.9492
Invest_GEFS,15,167.5,48.5,987.0391
Invest_GEFS,15,171.0,50.5,990.8649
Invest_GEFS,15,173.0,52.5,994.11523
Invest_GEFS,15,175.0,53.0,997.98846
Invest_GEFS,15,120.5,59.5,998.0762
Invest_GEFS,15,122.0,60.0,996.2029
Invest_GEFS,15,100.5,41.5,995.11505
Invest_GEFS,15,115.0,44.5,991.4955
Invest_GEFS,15,116.5,45.0,995.4308
Invest_GEFS,15,117.5,44.0,994.1167
Invest_GEFS,15,118.5,44.5,994.1717
Invest_GEFS,15,117.5,43.5,994.5227
Invest_GEFS,15,117.0,38.0,993.71924
Invest_GEFS,15,117.0,37.5,994.6214
Invest_GEFS,15,105.5,45.0,994.74646
Invest_GEFS,15,108.5,45.5,991.0199
Invest_GEFS,15,111.5,46.0,992.0494
Invest_GEFS,15,114.0,46.5,991.71594
Invest_GEFS,15,114.0,46.5,992.01514
Invest_GEFS,16,163.0,48.0,986.1142
Invest_GEFS,16,164.0,48.5,984.2718
Invest_GEFS,16,167.0,49.0,986.66656
Invest_GEFS,16,169.0,50.5,990.363
Invest_GEFS,16,170.0,51.0,994.67554
Invest_GEFS,16,118.0,50.0,997.95935
Invest_GEFS,16,153.0,37.0,997.51544
Invest_GEFS,16,118.5,51.5,997.45984
Invest_GEFS,16,121.0,53.0,998.3925
Invest_GEFS,16,119.5,52.5,996.53796
Invest_GEFS,16,169.5,50.5,996.68665
Invest_GEFS,16,153.5,14.5,994.19354
Invest_GEFS,16,151.5,16.0,988.6075
Invest_GEFS,16,149.5,17.0,982.55505
Invest_GEFS,16,147.0,17.5,976.08026
Invest_GEFS,16,144.5,18.0,970.3486
Invest_GEFS,16,141.5,19.0,965.8071
Invest_GEFS,16,138.5,20.0,962.81714
Invest_GEFS,16,135.5,20.5,958.71606
Invest_GEFS,16,132.5,21.0,953.92664
Invest_GEFS,16,130.5,21.5,948.3374
Invest_GEFS,17,162.5,47.5,984.81476
Invest_GEFS,17,164.5,48.5,983.1301
Invest_GEFS,17,168.0,49.0,986.98975
Invest_GEFS,17,171.5,51.0,991.9568
Invest_GEFS,17,173.0,52.5,995.3808
Invest_GEFS,17,175.5,53.5,999.0793
Invest_GEFS,17,119.5,38.0,999.28796
