# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
init_time,track_id,sample,valid_time,lead_time,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots,radius_of_maximum_winds_km,radius_34_knot_winds_ne_km,radius_34_knot_winds_se_km,radius_34_knot_winds_sw_km,radius_34_knot_winds_nw_km,radius_50_knot_winds_ne_km,radius_50_knot_winds_se_km,radius_50_knot_winds_sw_km,radius_50_knot_winds_nw_km,radius_64_knot_winds_ne_km,radius_64_knot_winds_se_km,radius_64_knot_winds_sw_km,radius_64_knot_winds_nw_km
2026-06-29,WP952026,32.0,2026-06-29 06:00:00,0 days 06:00:00,8.79,165.72,1007.6,16.9,85.69597496194476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,32.0,2026-06-29 12:00:00,0 days 12:00:00,7.84,164.68,1007.8,11.7,158.05232799471847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,32.0,2026-06-29 18:00:00,0 days 18:00:00,7.98,166.15,1010.3,14.4,93.4224057842062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,32.0,2026-06-30 00:00:00,1 days 00:00:00,7.31,165.43,1010.4,9.9,68.75803407763982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,32.0,2026-06-30 06:00:00,1 days 06:00:00,7.36,165.41,1007.4,14.6,73.3384533787243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,32.0,2026-06-30 12:00:00,1 days 12:00:00,6.75,164.93,1007.2,17.1,137.55082402186878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,32.0,2026-06-30 18:00:00,1 days 18:00:00,7.59,165.23,1007.6,14.3,130.45205451572355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,33.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,34.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,35.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,35.0,2026-06-29 06:00:00,0 days 06:00:00,8.93,165.44,1007.0,12.4,115.92987305715012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,WP952026,36.0,2026-06-29 00:00:00,0 days 00:00:00,9.1,167.8,1006.0,25.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
